USERID,FULL_NAME,GENDER,RACE,AGE,PROVINCE,CHANNEL2,RECORDDATE2,CONVERTED_DATETIME,SA_TIME,TIME_ONLY,DAY_NAME,MONTH_NAME,DURATION2,AGE_CLASSIFICATION
991,Lane� Paradis,male,black,26,Gauteng,Trace TV,2016/01/14 05:38,2016-01-14 05:38:00.000,2016-01-14 07:38:00.000,05:38:00.000,Thu,Jan,00:00:24.000,Adult
991,Lane� Paradis,male,black,26,Gauteng,Africa Magic,2016/01/19 19:58,2016-01-19 19:58:00.000,2016-01-19 21:58:00.000,19:58:00.000,Tue,Jan,00:00:02.000,Adult
991,Lane� Paradis,male,black,26,Gauteng,E! Entertainment,2016/01/14 10:07,2016-01-14 10:07:00.000,2016-01-14 12:07:00.000,10:07:00.000,Thu,Jan,00:00:10.000,Adult
1012,Winona� Wigfall,female,black,26,Mpumalanga,None,No DateTime,,,,,,00:00:00.000,Adult
1031,Valentine� Mina,male,black,25,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
1041,Irving� Mccown,male,None,25,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
1069,Shane� Bilyeu,male,black,25,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
1075,Shandra� Mccollum,female,black,25,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
1081,Charlie� Reisinger,male,white,25,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
1095,Randy� Paradis,male,coloured,24,Western Cape,None,No DateTime,,,,,,00:00:00.000,Young Adult
1104,Romeo� Restivo,male,black,24,Gauteng,None,No DateTime,,,,,,00:00:00.000,Young Adult
1109,Randy� Pilot,male,None,24,Mpumalanga,None,No DateTime,,,,,,00:00:00.000,Young Adult
1115,Adela� Vital,female,black,24,Gauteng,None,No DateTime,,,,,,00:00:00.000,Young Adult
1144,Shane� Beville,male,black,24,Limpopo,None,No DateTime,,,,,,00:00:00.000,Young Adult
1159,Kyle� Zweifel,male,black,23,Gauteng,None,No DateTime,,,,,,00:00:00.000,Young Adult
1176,Chas� Tatham,male,None,23,Western Cape,None,No DateTime,,,,,,00:00:00.000,Young Adult
1205,Chas� Wigfall,male,white,23,Gauteng,None,No DateTime,,,,,,00:00:00.000,Young Adult
1211,Carter� Zweifel,male,black,23,Gauteng,None,No DateTime,,,,,,00:00:00.000,Young Adult
1214,Irving� Styer,male,black,23,Mpumalanga,None,No DateTime,,,,,,00:00:00.000,Young Adult
1242,Dee� Curran,male,coloured,22,Mpumalanga,None,No DateTime,,,,,,00:00:00.000,Young Adult
1247,Emerson� Borelli,male,white,22,Mpumalanga,None,No DateTime,,,,,,00:00:00.000,Young Adult
1254,Lucas� Bilyeu,male,None,22,Gauteng,None,No DateTime,,,,,,00:00:00.000,Young Adult
1258,Stephen� Hier,male,black,22,Limpopo,None,No DateTime,,,,,,00:00:00.000,Young Adult
1264,Yong� Luthy,male,black,22,Free State,None,No DateTime,,,,,,00:00:00.000,Young Adult
1265,Art� Beville,male,black,22,Limpopo,None,No DateTime,,,,,,00:00:00.000,Young Adult
1276,Donald� Singer,male,black,22,Limpopo,None,No DateTime,,,,,,00:00:00.000,Young Adult
1324,Hugh Langenfeld,male,black,21,Western Cape,None,No DateTime,,,,,,00:00:00.000,Young Adult
1331,Stacy� Styer,male,black,21,Limpopo,None,No DateTime,,,,,,00:00:00.000,Young Adult
1362,Eli� Pilot,male,black,19,Gauteng,None,No DateTime,,,,,,00:00:00.000,Young Adult
1363,Winona� Wigfall,female,white,19,Mpumalanga,None,No DateTime,,,,,,00:00:00.000,Young Adult
1366,Robby� Vital,male,indian_asian,19,Kwazulu Natal,None,No DateTime,,,,,,00:00:00.000,Young Adult
1373,Raymundo� Mina,male,white,19,Kwazulu Natal,Cartoon Network,2016/02/28 10:38,2016-02-28 10:38:00.000,2016-02-28 12:38:00.000,10:38:00.000,Sun,Feb,00:00:00.000,Young Adult
1383,Valentine� Tatham,male,black,18,Gauteng,None,No DateTime,,,,,,00:00:00.000,Young Adult
1388,Irving� Langenfeld,male,black,18,Limpopo,None,No DateTime,,,,,,00:00:00.000,Young Adult
1401,Yong� Leicht,male,None,17,Gauteng,None,No DateTime,,,,,,00:00:00.000,Early Teen
1437,Krysta� Mastrangelo,female,black,14,Gauteng,None,No DateTime,,,,,,00:00:00.000,Early Teen
1440,Emilie� Deblois,female,coloured,14,Eastern Cape,None,No DateTime,,,,,,00:00:00.000,Early Teen
1441,Luanna� Hoadley,female,black,14,Gauteng,None,No DateTime,,,,,,00:00:00.000,Early Teen
1445,Kip� Luthy,male,coloured,13,Northern Cape,CNN,2016/03/06 15:47,2016-03-06 15:47:00.000,2016-03-06 17:47:00.000,15:47:00.000,Sun,Mar,00:00:33.000,Early Teen
1445,Kip� Luthy,male,coloured,13,Northern Cape,SuperSport Blitz,2016/02/25 10:37,2016-02-25 10:37:00.000,2016-02-25 12:37:00.000,10:37:00.000,Thu,Feb,00:05:38.000,Early Teen
1451,Efren� Condie,male,black,12,Limpopo,None,No DateTime,,,,,,00:00:00.000,Early Teen
1497,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1503,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1504,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1511,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1518,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1542,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1579,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1582,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1589,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1590,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1608,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1622,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1664,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1676,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1685,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1690,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1693,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1703,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1714,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1731,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1770,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1778,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1793,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1803,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1825,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1827,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1861,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1892,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1921,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1947,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1971,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1975,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1986,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1989,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
1998,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2000,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2048,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2075,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2092,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2126,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2141,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2144,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2169,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2170,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2171,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2194,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2200,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2218,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2220,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2221,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2252,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2267,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2275,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2285,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2288,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2300,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2306,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2326,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2328,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2384,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2391,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2411,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2415,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2455,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2458,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2480,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2496,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2497,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2531,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2566,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2569,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2607,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2611,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2613,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2637,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2649,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2691,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2763,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2766,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2768,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2792,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2798,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2811,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2868,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2886,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2899,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2905,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2934,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2952,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
2993,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3002,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3021,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3025,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3026,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3057,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3070,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3086,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3096,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3099,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3102,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3106,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3109,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3116,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3121,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3132,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3166,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3168,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3172,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3181,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3201,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3222,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3233,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3242,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3276,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3297,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3309,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3311,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3314,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3336,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3339,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3344,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3363,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3371,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3411,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3413,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3440,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3468,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3487,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3494,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3533,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3554,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3576,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3602,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3603,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3606,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3616,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3623,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3626,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3629,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3642,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3652,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3666,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3679,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3680,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3702,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3723,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3734,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3735,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3793,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3818,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3850,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3866,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3871,None None,None,None,0,None,ICC Cricket World Cup 2011,2016/03/30 17:02,2016-03-30 17:02:00.000,2016-03-30 19:02:00.000,17:02:00.000,Wed,Mar,00:01:10.000,Out of Range
3877,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3899,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3907,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3923,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3925,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3927,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3933,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3947,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3958,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3974,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3985,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3993,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3994,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
3998,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
4060,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
4112,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
4121,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
4122,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
4130,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
4166,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
4167,None None,None,None,0,None,None,No DateTime,,,,,,00:00:00.000,Out of Range
